step,t_sim,cmd_index,primitive,eef_x,eef_y,eef_z,eef_qx,eef_qy,eef_qz,eef_qw,gripper_aperture,gripper_cmd,dpos_x,dpos_y,dpos_z,drot_x,drot_y,drot_z,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6
1,0.05,1,move_to,-0.10195675109314839,-0.0017056769398315099,1.009932531482632,0.9979816999865875,-0.0007675475675412406,0.06349617955107509,0.00041538539903898593,0.539464794279469,-1.0,0.006624387355964195,-0.016569933714009548,-0.009030769007757393,0.0,0.0,0.0,-0.0008940962933732274,0.20170058714005334,-0.0028028604601656928,-2.6146201555516995,0.00021667991678031088,2.9433905899834962,0.7837183710003435,-0.028719687826269838,0.1664161226568432,-0.07596798402513631,0.10529641313829034,0.020571851708647223,0.05658366291292354,-0.07021941506105564
2,0.1,1,move_to,-0.10039339919243107,-0.004657067443965878,1.0078108124806209,0.9979866640064428,-0.001994442412955577,0.06338578706950201,0.0009395011076816915,0.5892930791537598,-1.0,0.006614278494308883,-0.016581784102958262,-0.009016415915573311,0.0,0.0,0.0,-0.0027276379844490104,0.21137244194582094,-0.00684237048692153,-2.608476977315191,0.002315483870710076,2.9467042990030587,0.7783951008568484,-0.04188088100702634,0.20004139214316488,-0.07588308688205771,0.1275364523614007,0.06380676268764503,0.06903111499177227,-0.13800313357025595
3,0.15,1,move_to,-0.09868926169913204,-0.00796174598455202,1.005484074826854,0.9979890842868285,-0.0029283461825120125,0.06330362797488188,0.0013649608745319743,0.6609923039911654,-1.0,0.006582992253540571,-0.016616736834842005,-0.00897486879856356,0.0,0.0,0.0,-0.005136498515733885,0.22189750082308332,-0.01078169847452812,-2.601735239950392,0.006344130128759733,2.9503283984597632,0.7701615577796246,-0.05200276602588626,0.2062271972275378,-0.07274805950719365,0.13277306483376974,0.09773640323891679,0.07096620713662354,-0.1874419630733344
4,0.2,1,move_to,-0.09697281289332169,-0.011505615051172214,1.0031191554531778,0.997989779008248,-0.003653902616679739,0.06324645644830093,0.001713399389471702,0.7450807393505271,-1.0,0.00655024394418336,-0.016653911818681862,-0.00892981105103898,0.0,0.0,0.0,-0.00800201505121292,0.23256261833641997,-0.014539497796122434,-2.5948225018720157,0.011869964498258381,2.953965036577099,0.7597982192438658,-0.06027260218004826,0.20685137165960707,-0.06878282799657603,0.13502543825915714,0.1239392314107927,0.06997940715101957,-0.22384863301897462
5,0.25,1,move_to,-0.09526705740735264,-0.015221897685885279,1.0007516283325948,0.9979893665678088,-0.004232611842264021,0.0632082871629685,0.0020054048216892892,0.8361273001116335,-1.0,0.006523018764298524,-0.016686071062313543,-0.008889615216871424,0.0,0.0,0.0,-0.011248154666231169,0.24322868316896948,-0.018082334681764484,-2.5878008289728776,0.018556053395901786,2.9575206699265397,0.7478574448289826,-0.06731563991255964,0.2065119882599635,-0.06429170460897662,0.13715694467816944,0.14432470363955793,0.06783554530247272,-0.25098673420398543
6,0.3,1,move_to,-0.09357334998028466,-0.019065667476732235,0.9983888742379291,0.9979882522328434,-0.004706461284096301,0.06318391965027491,0.0022560862222939797,0.8967479483134113,-1.0,0.006501374323115824,-0.016713085243276072,-0.008854654909239425,0.0,0.0,0.0,-0.014825366411613394,0.2538754902141929,-0.02139094727386428,-2.5806608644772795,0.026147390685129605,2.960952043528103,0.7347349168701399,-0.07357673386092747,0.2061220475079473,-0.05953088566074281,0.13965348303782799,0.16028013164196955,0.06503471033525998,-0.27144523639191526
7,0.35,1,move_to,-0.09188925466954005,-0.02300535431651081,0.9960322720111979,0.9979867062223261,-0.005103914265378417,0.0631692540499214,0.0024758040027137943,0.9310453176624985,-1.0,0.006484215006686194,-0.01673598432442536,-0.008823932481589723,0.0,0.0,0.0,-0.01870140715604537,0.2645051398804152,-0.02445248567471132,-2.573383768677582,0.034448339094765516,2.9642319990708748,0.7207190702618891,-0.07931058553534537,0.2058240168410066,-0.05453208528596025,0.14251352097406866,0.1727842306706633,0.06177992691015366,-0.2869416228814113
8,0.4,1,move_to,-0.09021219776736694,-0.027017357260061593,0.9936818945326769,0.9979849182875917,-0.005444024070662886,0.06316113796722415,0.0026713522999704865,0.9503119792542787,-1.0,0.006470479963587149,-0.01675575842068445,-0.008796445235916576,0.0,0.0,0.0,-0.022854506604384928,0.2751222871634795,-0.027258212718301512,-2.5659533690440988,0.04330292751349642,2.9673413974908205,0.7060275502136214,-0.08469155765667166,0.20561172640693423,-0.04942509022417299,0.1456550289658978,0.18247654289513726,0.058201313927222116,-0.2986439587062276
9,0.45,1,move_to,-0.08854013605530657,-0.031085270052135138,0.9913375614789223,0.9979830149121542,-0.005740431524592337,0.06315727023916246,0.0028475618860124836,0.9611326028763394,-1.0,0.006459290038435939,-0.016773227132468035,-0.008771341046955164,0.0,0.0,0.0,-0.027269962444626414,0.28573051945600714,-0.02980547795761183,-2.558357676540027,0.052582647811013086,2.9702666370936837,0.690828125571489,-0.0898297276223313,0.205456484365742,-0.044315709980896144,0.1489970998368029,0.1898261467611369,0.05439433150261399,-0.3073936140949861
10,0.5,1,move_to,-0.08687158972961559,-0.03519770649421232,0.9889990477234873,0.9979810795645636,-0.006002855659006121,0.0631560245605592,0.003007842547461713,0.9672101767333099,-1.0,0.006450005905091463,-0.016788980727747968,-0.008748002626176594,0.0,0.0,0.0,-0.03193731010558602,0.29633206432259707,-0.03209627125163042,-2.550588385393591,0.062179445701504986,2.9729983239233886,0.6752525498248547,-0.09478687976300632,0.20533404165627647,-0.039283750403950365,0.15247359917348843,0.19518712465693702,0.050433975651296745,-0.31379977114981195
11,0.55,1,move_to,-0.0852055593870287,-0.03934671949474418,0.9866661027852953,0.9979791655929203,-0.0062381772208382515,0.0631563049624867,0.003154573014614663,0.9706239752824519,-1.0,0.006442179095173403,-0.016803435564768664,-0.008725988868109935,0.0,0.0,0.0,-0.036848280026527694,0.30692812344946774,-0.034136148084126045,-2.5426401378291006,0.07200090547454902,2.9755304271588567,0.6594063922885804,-0.09959094277155033,0.20522768741032102,-0.034392224160219545,0.15603229986324893,0.1988344267516334,0.046381082261056576,-0.3183080362843455
12,0.6,1,move_to,-0.0835414359880649,-0.04352673400245092,0.9843384436267157,0.997977303811399,-0.00645126450994613,0.0631574387547315,0.0032894062525759223,0.9725453193183823,-1.0,0.006435507483176268,-0.01681688407247034,-0.008704978663217719,0.0,0.0,0.0,-0.04199538944947686,0.3175192166646203,-0.03593350546530464,-2.5345098966968864,0.08196697193325359,2.9778596582847108,0.6433759146279285,-0.10424708110663956,0.20512673916875532,-0.029692633156213535,0.1596321979567762,0.2009896977674687,0.0422854779732766,-0.3212505320392144
13,0.65,1,move_to,-0.08187892015419794,-0.04773381636588302,0.9820157527278437,0.997975507162628,-0.006645583287902116,0.06315909540302733,0.003413501740047811,0.973809205447711,-1.0,0.006429803665600734,-0.01682953015163917,-0.008684730260456882,0.0,0.0,0.0,-0.04737100582108402,0.3281054400765795,-0.037499033063244674,-2.5261964443096017,0.09200774684613783,2.979984968967916,0.6272328489595154,-0.10874575727724993,0.20502476918235452,-0.025226757936412617,0.16324137473657996,0.20183916556318174,0.0381875583115667,-0.3228810116776004
